,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
94,Canada,2020-06-12,436,61.5,62.3,62.3,60.25,1.68K,0.80%
95,Canada,2020-06-15,359,61.5,61.5,61.5,61.5,0.26K,0.00%
96,Canada,2020-06-16,324,60.6,61.5,61.56,60.6,1.52K,-1.46%
97,Canada,2020-06-17,404,58.9,59.12,59.12,58.9,0.44K,-2.81%
98,Canada,2020-06-18,386,60.09,59.0,60.09,59.0,0.34K,2.02%
99,Canada,2020-06-19,437,60.5,60.02,60.5,60.0,0.41K,0.68%
100,Canada,2020-06-22,340,59.25,59.24,59.25,58.5,1.26K,-2.07%
101,Canada,2020-06-23,349,59.1,59.3,59.3,57.79,0.92K,-0.25%
102,Canada,2020-06-24,320,56.55,58.18,58.18,56.23,1.93K,-4.31%
103,Canada,2020-06-26,166,56.17,57.41,57.5,56.17,0.64K,-0.67%
104,Canada,2020-06-29,637,57.0,57.82,60.07,56.71,0.58K,1.48%
105,Canada,2020-07-02,355,57.26,55.51,57.7,55.51,0.87K,0.46%
106,Canada,2020-07-03,319,56.62,56.62,56.62,56.62,0.12K,-1.12%
107,Canada,2020-07-06,421,58.0,59.25,59.25,58.0,0.87K,2.44%
108,Canada,2020-07-07,208,58.5,57.99,58.5,57.99,0.33K,0.86%
109,Canada,2020-07-08,311,56.43,57.5,58.21,56.09,2.29K,-3.54%
110,Canada,2020-07-09,322,56.67,56.37,56.71,55.0,1.26K,0.43%
111,Canada,2020-07-10,328,57.24,57.99,57.99,57.24,0.28K,1.01%
112,Canada,2020-07-13,636,57.0,57.0,57.0,56.0,1.65K,-0.42%
113,Canada,2020-07-14,366,55.75,56.06,56.06,55.75,3.29K,-2.19%
114,Canada,2020-07-15,343,56.0,56.99,57.0,56.0,0.72K,0.45%
115,Canada,2020-07-16,451,56.44,57.75,58.5,56.44,0.66K,0.79%
116,Canada,2020-07-17,415,58.5,58.5,58.5,58.5,7.36K,3.65%
117,Canada,2020-07-20,770,59.21,56.87,59.21,56.87,0.68K,1.21%
118,Canada,2020-07-21,535,59.18,56.92,59.18,56.92,0.73K,-0.05%
119,Canada,2020-07-22,317,58.75,56.0,58.8,54.2,3.62K,-0.73%
120,Canada,2020-07-23,608,56.5,58.5,58.64,56.5,1.77K,-3.83%
121,Canada,2020-07-24,717,56.97,56.0,56.97,56.0,0.25K,0.83%
122,Canada,2020-07-27,682,57.5,57.99,57.99,57.48,0.55K,0.93%
123,Canada,2020-07-28,400,57.5,57.5,57.5,57.5,0.28K,0.00%
124,Canada,2020-07-29,486,57.98,57.5,58.0,57.5,0.48K,0.83%
125,Canada,2020-07-30,320,57.98,57.98,57.98,57.98,0.58K,0.00%
126,Canada,2020-07-31,604,56.43,57.47,57.47,56.43,0.83K,-2.67%
127,Canada,2020-08-04,686,57.6,56.49,57.7,56.49,2.70K,2.07%
128,Canada,2020-08-05,374,58.0,58.0,58.0,57.3,0.58K,0.69%
129,Canada,2020-08-06,354,57.85,57.5,57.85,57.5,0.32K,-0.26%
130,Canada,2020-08-07,516,58.0,56.25,59.0,56.25,1.16K,0.26%
131,Canada,2020-08-10,686,58.45,58.61,58.61,56.75,1.21K,0.78%
132,Canada,2020-08-11,336,58.93,58.98,58.98,58.92,2.43K,0.82%
133,Canada,2020-08-12,314,58.83,58.71,58.83,58.71,1.37K,-0.17%
134,Canada,2020-08-13,477,58.93,58.93,58.93,58.93,1.30K,0.17%
135,Canada,2020-08-14,425,57.51,58.95,58.95,57.5,0.65K,-2.41%
136,Canada,2020-08-17,214,57.01,57.01,57.01,57.01,0.15K,-0.87%
137,Canada,2020-08-18,866,57.55,57.55,57.55,57.55,0.43K,0.95%
138,Canada,2020-08-19,324,57.6,57.75,57.75,57.6,0.55K,0.09%
139,Canada,2020-08-20,217,57.62,58.4,58.4,57.62,0.44K,0.03%
140,Canada,2020-08-21,694,58.49,57.65,58.49,57.65,0.50K,1.51%
141,Canada,2020-08-24,777,58.6,58.75,58.9,57.6,0.82K,0.19%
142,Canada,2020-08-25,309,58.01,58.4,58.4,58.01,0.25K,-1.01%
143,Canada,2020-08-26,477,57.05,57.0,57.05,57.0,0.82K,-1.65%
144,Canada,2020-08-27,456,57.08,58.4,58.4,57.08,0.46K,0.05%
145,Canada,2020-08-28,506,58.28,57.38,58.45,57.38,1.22K,2.10%
146,Canada,2020-08-31,1030,56.15,56.76,57.46,56.0,3.99K,-3.65%
147,Canada,2020-09-01,504,55.2,54.02,55.2,54.02,0.59K,-1.69%
148,Canada,2020-09-02,519,59.0,56.49,60.89,56.49,6.62K,6.88%
149,Canada,2020-09-04,614,58.98,58.99,58.99,58.07,0.87K,-0.03%
150,Canada,2020-09-08,1462,58.96,58.96,58.96,58.96,0.21K,-0.03%
151,Canada,2020-09-09,378,57.1,56.8,57.1,56.8,0.60K,-3.15%
152,Canada,2020-09-10,821,57.3,56.5,57.3,56.5,0.72K,0.35%
153,Canada,2020-09-11,720,57.18,57.18,57.18,57.18,0.16K,-0.21%
154,Canada,2020-09-14,1458,55.9,56.0,56.0,55.5,1.20K,-2.24%
155,Canada,2020-09-15,802,55.6,55.6,55.6,55.6,0.35K,-0.54%
156,Canada,2020-09-17,1027,56.22,55.5,56.22,55.3,1.71K,1.12%
157,Canada,2020-09-18,1174,54.51,55.61,55.61,54.47,0.78K,-3.04%
158,Canada,2020-09-21,1833,53.11,54.25,54.25,53.11,0.76K,-2.57%
159,Canada,2020-09-22,1272,54.96,53.0,54.96,53.0,0.98K,3.48%
160,Canada,2020-09-23,1084,54.51,53.0,54.59,53.0,0.42K,-0.82%
161,Canada,2020-09-24,1148,54.48,54.5,54.5,54.48,2.10K,-0.06%
162,Canada,2020-09-25,1630,54.25,54.55,54.56,53.0,1.59K,-0.42%
163,Canada,2020-09-28,1791,55.1,54.97,55.1,54.8,2.72K,1.57%
164,Canada,2020-09-29,1772,55.1,54.51,55.1,54.5,1.97K,0.00%
165,Canada,2020-09-30,2116,55.0,55.8,55.8,55.0,0.81K,-0.18%
166,Canada,2020-10-01,1823,55.1,55.1,55.1,55.1,0.56K,0.18%
